file_path,transcript,mfcc_features
data\BWC\BWC\wav\arctic_a0351.wav,It was more like sugar,"[[-5.4646814e+02  1.1306082e+02  1.5291029e+01 ... -7.9105477e+00
  -1.0038625e+00 -4.1638503e+00]
 [-5.9874609e+02  1.2102064e+02  2.7616297e+01 ...  1.3579495e+01
   7.4341207e+00  1.1578249e+01]
 [-6.1939844e+02  1.1451599e+02  2.8514488e+01 ...  2.1048236e+00
   1.1432669e+00  8.7013264e+00]
 ...
 [-5.6042291e+02  1.1678793e+02  1.8478153e+01 ... -2.1802689e+01
  -1.2451786e+01 -4.1863790e+00]
 [-5.7615851e+02  1.1678289e+02  2.0957602e+01 ... -1.1803741e+01
   6.3673229e+00  8.5979643e+00]
 [-5.8693549e+02  1.0284535e+02  1.7376850e+01 ...  3.9905715e-01
  -2.0055723e+00 -9.3328056e+00]]"
data\BWC\BWC\wav\arctic_a0352.wav,I'm sure going along with you all Elijah,"[[-556.24       110.99448     16.501575  ...   -2.7898521    4.53876
    -1.0423207]
 [-622.0921     117.39413     38.63784   ...   -2.6153288   13.938975
    -4.723551 ]
 [-626.82263    114.56926     45.21374   ...   -1.5507474   17.457352
    12.144943 ]
 ...
 [-591.6456     128.18079     51.055656  ...  -10.339083    15.683028
    -1.2606276]
 [-603.5457     113.240845    42.89663   ...   -6.6512856   14.777242
     3.9891415]
 [-597.36346    115.58139     36.89779   ...    6.9165506   15.601517
    15.517172 ]]"
data\BWC\BWC\wav\arctic_a0353.wav,Here the explosion of mirth drowned him out,"[[-525.65765    100.680984   -12.304279  ...    5.9408255   -4.6652584
     5.132011 ]
 [-508.15042     99.73586    -16.27359   ...   13.168451    -5.361232
     8.062931 ]
 [-517.89685     84.56868    -12.299244  ...   12.833748     7.5198307
     6.5242023]
 ...
 [-614.2415     111.13965     38.046585  ...    1.907535     5.7984104
    -2.8729336]
 [-614.6445     113.46985     35.022087  ...   16.651089    14.139721
    -2.174124 ]
 [-618.44275    121.49608     49.577797  ...    1.9478382   -7.1293964
    -5.608302 ]]"
data\BWC\BWC\wav\arctic_a0354.wav,Fresh meat they failed to obtain,"[[-6.22512146e+02  1.20574066e+02  4.38665466e+01 ...  2.13227177e+00
  -5.49509668e+00  6.58564568e-01]
 [-6.15781494e+02  1.33699463e+02  4.89048615e+01 ...  1.57479572e+01
  -1.56308413e+00 -3.42132115e+00]
 [-6.23976685e+02  1.16284164e+02  4.44577103e+01 ...  2.21738434e+00
  -1.15315256e+01 -5.10715485e+00]
 ...
 [-6.06814819e+02  1.34970810e+02  4.89618454e+01 ... -2.85519934e+00
   1.39077234e+00 -2.41265059e+00]
 [-6.13410828e+02  1.22507812e+02  4.08798676e+01 ...  3.15906858e+00
   9.48511505e+00  4.09018278e+00]
 [-6.27269714e+02  1.22613571e+02  5.11513214e+01 ...  2.71538186e+00
  -2.84533322e-01 -5.10154724e+00]]"
data\BWC\BWC\wav\arctic_a0355.wav,A burst of laughter was his reward,"[[-647.3448      94.54169     25.3763    ...    3.778902   -12.99885
    -3.5477788]
 [-591.80536    130.63881     41.510704  ...    5.9196453   12.155558
     9.440406 ]
 [-603.0128     129.26889     41.03058   ...    0.9786839   16.750559
     9.549267 ]
 ...
 [-622.8931     114.066345    36.37346   ...   13.362679    16.583164
     5.911316 ]
 [-615.29974    122.665344    41.21895   ...    5.037861    19.090372
    -3.4748433]
 [-538.0104      98.17233     29.410595  ...    1.7602339    2.833734
     2.5801277]]"
data\BWC\BWC\wav\arctic_a0356.wav,He don't catch me at any such foolishness,"[[-6.22602356e+02  1.27743164e+02  3.22542267e+01 ...  6.60243416e+00
   1.86973095e+01  7.14629078e+00]
 [-6.06915466e+02  1.18037689e+02  3.20424500e+01 ...  1.18299904e+01
   1.77911415e+01  4.67742825e+00]
 [-5.42336792e+02  1.00714188e+02  2.54384460e+01 ...  1.04629803e+01
   2.49905167e+01 -4.39821482e+00]
 ...
 [-6.04051392e+02  1.13318375e+02  2.98443527e+01 ...  1.53663998e+01
   1.33397141e+01 -8.75523853e+00]
 [-6.10967346e+02  1.15307693e+02  4.02924080e+01 ...  1.86002960e+01
   6.89500427e+00 -2.14094424e+00]
 [-6.02674133e+02  1.13722687e+02  3.26004066e+01 ...  9.83356571e+00
   6.24448204e+00 -4.52625513e-01]]"
data\BWC\BWC\wav\arctic_a0357.wav,A month passed by and Bonanza Creek remained quiet,"[[-4.76560272e+02  1.28144485e+02  1.37732239e+01 ...  5.97262955e+00
   5.76263237e+00  5.13684213e-01]
 [-6.07174438e+02  1.13704323e+02  4.12091179e+01 ...  1.64114046e+00
   4.27431679e+00  5.46626282e+00]
 [-6.07054810e+02  1.15429260e+02  4.20055771e+01 ...  9.10495567e+00
   6.39413929e+00  2.76433849e+00]
 ...
 [-6.12895935e+02  1.25133438e+02  5.50092239e+01 ...  2.02710629e+00
   2.62622585e+01  1.48547916e+01]
 [-6.06149170e+02  1.31680206e+02  5.15182190e+01 ... -7.97608566e+00
   1.83080626e+00  1.00910413e+00]
 [-6.27627075e+02  1.23557785e+02  5.26823273e+01 ... -6.40704393e+00
   6.07878971e+00  1.72670639e+00]]"
data\BWC\BWC\wav\arctic_a0358.wav,They continued valiantly to lie but the truth continued to outrun them,"[[-5.48235779e+02  1.11500885e+02  1.30991726e+01 ... -9.97019291e+00
   4.85971498e+00 -2.64672446e+00]
 [-6.06341797e+02  1.13824287e+02  3.18899918e+01 ... -4.28935099e+00
   3.82764578e+00  3.45463181e+00]
 [-6.09778015e+02  1.22169067e+02  4.18605423e+01 ...  2.61754179e+00
   6.75125313e+00  9.36451435e+00]
 ...
 [-5.99359985e+02  1.07683853e+02  4.41805992e+01 ...  9.73938751e+00
   1.65807304e+01  1.09320240e+01]
 [-6.03280579e+02  1.05123795e+02  4.30348587e+01 ...  1.64912548e+01
   1.85592651e+01  1.83630586e-01]
 [-6.00603271e+02  1.16233658e+02  4.91328964e+01 ... -3.30661964e+00
   1.39166236e+00 -5.11233187e+00]]"
data\BWC\BWC\wav\arctic_a0359.wav,Earth and gravel seemed to fill the pan,"[[-612.15875    114.0676      18.459827  ...   11.398625    10.506027
     8.930917 ]
 [-617.38135    128.0954      49.970306  ...   16.635937     9.120903
     7.402902 ]
 [-617.25836    129.32663     54.013023  ...    4.0089035    7.1143804
    15.439974 ]
 ...
 [-612.4278     116.919174    30.7252    ...    7.182593     9.489868
     9.226295 ]
 [-609.24097    116.32617     46.692173  ...   17.43575     12.909019
    -2.2426505]
 [-564.69806    100.713234    28.210468  ...    4.5818834   10.464621
     7.2744975]]"
data\BWC\BWC\wav\arctic_a0360.wav,But he no longer cared quite so much for that form of diversion,"[[-5.94835205e+02  1.23344574e+02  3.69245377e+01 ... -7.36230087e+00
   5.40466428e-01  8.90479851e+00]
 [-6.22442810e+02  1.14056129e+02  3.35341187e+01 ...  4.17023718e-01
  -1.72728229e+00 -2.42299700e+00]
 [-6.17615234e+02  1.18801926e+02  3.57287521e+01 ...  1.54321556e+01
   1.20222063e+01 -4.09592390e-01]
 ...
 [-6.02376221e+02  1.23500656e+02  4.37271576e+01 ...  2.34859443e+00
   1.18741953e+00  9.11043358e+00]
 [-6.01465698e+02  1.29046921e+02  3.81659393e+01 ...  1.20887196e+00
   2.82528305e+00  9.93732071e+00]
 [-6.17893311e+02  1.12205154e+02  3.94142456e+01 ... -7.50941277e+00
   6.62133217e+00 -3.13799858e+00]]"
data\BWC\BWC\wav\arctic_a0361.wav,But he didn't broach it preferring to mature it carefully,"[[-5.0816730e+02  1.0407454e+02  1.4621645e+01 ...  3.1063132e+00
   9.6038270e-01 -4.8073206e+00]
 [-5.6022198e+02  1.0911616e+02  1.5174158e+01 ...  1.5761688e+01
   1.3503378e+01  7.7331915e+00]
 [-5.7287750e+02  1.1909679e+02  3.2357044e+01 ...  2.2923708e+00
   2.1379621e+00  5.2702851e+00]
 ...
 [-6.1518787e+02  1.3398543e+02  5.3994347e+01 ... -2.8995745e+00
  -3.1582069e+00  2.9314122e+00]
 [-6.2535736e+02  1.1845560e+02  5.0849030e+01 ...  1.9287989e-01
   1.0038986e+01  6.1033792e+00]
 [-5.4698584e+02  1.0000700e+02  3.1552563e+01 ... -6.1328477e-01
   1.6593345e+00  4.3009992e+00]]"
data\BWC\BWC\wav\arctic_a0362.wav,Nope not the slightest idea,"[[-599.92285    102.02754     16.019382  ...    2.5522485    7.145148
     3.6781912]
 [-619.1784     121.06445     40.199722  ...   -5.4239607   -1.0677807
    -8.696185 ]
 [-581.8014      77.46462     53.556637  ...    4.0450788    6.9063725
    -9.280241 ]
 ...
 [-616.2891     112.76309     40.091133  ...   -1.0095419    7.846989
     7.2711654]
 [-614.62946    121.696365    53.735924  ...   -2.967468    11.4598675
     3.305595 ]
 [-535.32935    102.737686    24.99289   ...   14.387085    13.773523
    13.77828  ]]"
data\BWC\BWC\wav\arctic_a0363.wav,It is not an attempt to smash the market,"[[-6.28211243e+02  1.11681061e+02  4.72213631e+01 ...  7.78588200e+00
   4.07259178e+00  7.70811677e-01]
 [-6.16473267e+02  1.17662125e+02  5.26014786e+01 ...  9.61538124e+00
   1.26995087e+01  2.41985321e+00]
 [-6.14116516e+02  1.00878922e+02  5.56090698e+01 ...  4.21277809e+00
   2.34225597e+01 -4.17852879e-01]
 ...
 [-6.14286987e+02  1.04214012e+02  4.16770744e+01 ... -1.65435600e+01
  -9.46174979e-01 -7.95769691e+00]
 [-6.18103638e+02  1.20282341e+02  4.26114998e+01 ...  5.82652092e+00
   1.60845566e+01  6.07516623e+00]
 [-5.87311584e+02  9.79720688e+01  3.77857475e+01 ... -4.22848523e-01
   1.28223763e+01  8.48736572e+00]]"
data\BWC\BWC\wav\arctic_a0364.wav,We have plenty of capital ourselves and yet we want more,"[[-5.5274426e+02  1.1674538e+02  1.4352654e+01 ... -1.1469742e+00
   9.0891018e+00  6.4663553e+00]
 [-6.1321472e+02  1.2250918e+02  3.5829674e+01 ... -4.2042999e+00
   5.9001980e+00  1.4301203e+01]
 [-6.1201465e+02  1.2869696e+02  5.4644394e+01 ...  2.7110100e+00
   7.7390833e+00  1.7367020e+01]
 ...
 [-5.9467065e+02  1.1914175e+02  3.7821152e+01 ... -3.9115930e+00
   6.6633520e+00  5.4670472e+00]
 [-6.0733624e+02  1.1663606e+02  5.0964333e+01 ... -2.2200578e-01
   9.1810131e+00  8.5184937e+00]
 [-6.0393884e+02  1.1250195e+02  4.6655762e+01 ...  5.6887012e+00
   1.6878147e+01  1.1067302e+01]]"
data\BWC\BWC\wav\arctic_a0365.wav,These rumors may even originate with us,"[[-5.75638794e+02  1.09303467e+02  2.29882011e+01 ... -1.84797800e+00
   5.67774391e+00 -5.61843967e+00]
 [-6.24358093e+02  1.08456451e+02  4.51930542e+01 ... -2.90622234e+00
   3.44339252e-01  1.88825595e+00]
 [-6.11499817e+02  1.24025681e+02  4.33484230e+01 ... -7.35451889e+00
   2.50387621e+00  6.01641369e+00]
 ...
 [-6.02065308e+02  1.13331055e+02  3.75695801e+01 ...  1.92046022e+00
   1.42972450e+01 -2.47568130e+00]
 [-5.92120728e+02  1.30633087e+02  3.81747589e+01 ...  5.27550030e+00
   1.28591404e+01  3.47178078e+00]
 [-5.53381775e+02  1.03405418e+02  2.86086197e+01 ...  1.71503448e+01
   1.25816364e+01  7.29320908e+00]]"
data\BWC\BWC\wav\arctic_a0366.wav,A wildly exciting time was his during the week preceding Thursday the eighteenth,"[[-638.0503     111.22971     36.089096  ...   -5.037143    -3.2608757
     5.542158 ]
 [-617.46277    124.33964     38.804985  ...    1.3323903   17.174625
     4.5613356]
 [-621.40076    125.250275    57.015343  ...   -5.658898     1.3006543
     9.0710125]
 ...
 [-619.46075    102.20564     34.151962  ...   15.872127    14.911873
     1.660021 ]
 [-612.4884     125.004654    42.54693   ...   -2.7694373   -1.4914119
     8.310104 ]
 [-597.6055     109.81679     31.39656   ...   -2.1372705    3.1619418
    -0.7576152]]"
data\BWC\BWC\wav\arctic_a0367.wav,There is not an iota of truth in it certainly not,"[[-6.21484070e+02  1.24963562e+02  3.45032883e+01 ...  6.71495438e+00
   5.38197041e-01 -1.37120037e+01]
 [-6.01656738e+02  1.16779968e+02  4.38803215e+01 ... -4.83308887e+00
   1.01352262e+01 -7.64649272e-01]
 [-5.98985535e+02  1.20398682e+02  3.88235703e+01 ...  6.66480184e-01
   1.44157553e+01 -3.51824188e+00]
 ...
 [-6.27653748e+02  1.14343468e+02  4.59409714e+01 ...  8.81923485e+00
   1.18502369e+01  1.86864643e+01]
 [-6.21240784e+02  1.10555756e+02  3.46247673e+01 ...  3.43326807e+00
   4.67405510e+00  9.44903564e+00]
 [-6.18218201e+02  1.19161911e+02  4.32434158e+01 ...  6.08362341e+00
   6.95524025e+00  4.22323346e-02]]"
data\BWC\BWC\wav\arctic_a0368.wav,I just do appreciate it without being able to express my feelings,"[[-592.3818      124.646645     21.526855   ...    9.468265
     7.2650623     1.8624735 ]
 [-588.5841      111.13652      26.7842     ...    9.842876
    -0.69390994    9.175777  ]
 [-580.8962      124.40547      28.073763   ...    0.8531029
    -6.105558      3.4202943 ]
 ...
 [-573.086       119.91119      33.92638    ...    8.086012
   -14.515451    -13.593663  ]
 [-563.00824     123.87976      23.58015    ...   -3.72674
     5.778639     -0.9225408 ]
 [-591.325        97.81029      15.834036   ...  -15.124023
   -14.0066395    -9.78915   ]]"
data\BWC\BWC\wav\arctic_a0369.wav,In partnership with Daylight the pair raided the San Jose Interurban,"[[-6.17523743e+02  1.10304115e+02  1.24792423e+01 ...  1.20977859e+01
   1.38918686e+01  6.53951836e+00]
 [-6.09427917e+02  1.26838928e+02  3.72314110e+01 ... -3.71351147e+00
  -3.25322652e+00 -7.66427803e+00]
 [-5.96077087e+02  1.22121719e+02  4.58803101e+01 ...  2.39577723e+00
   1.31289291e+01  1.20377893e+01]
 ...
 [-6.03700439e+02  1.20403946e+02  2.81503906e+01 ...  2.72119105e-01
   6.35271931e+00  1.37592831e+01]
 [-5.99647705e+02  1.35420319e+02  3.19833069e+01 ... -5.72376442e+00
   5.01988840e+00  1.25067425e+01]
 [-6.02105896e+02  1.20655151e+02  3.40058975e+01 ... -6.19038439e+00
   9.53540611e+00  1.66983204e+01]]"
data\BWC\BWC\wav\arctic_a0370.wav,He saw all men in business game doing this,"[[-6.25899536e+02  9.74466705e+01  3.43733063e+01 ...  4.90778804e-01
  -1.08264625e+00 -1.27035260e+00]
 [-6.15904663e+02  1.08672577e+02  4.31615143e+01 ...  6.27848244e+00
   6.19037914e+00 -6.55651236e+00]
 [-6.10594421e+02  1.11833084e+02  3.83258820e+01 ...  9.92808151e+00
   6.83982849e+00 -3.83608294e+00]
 ...
 [-5.88571777e+02  1.17338387e+02  3.81994095e+01 ...  5.02107501e-01
  -7.35053205e+00  2.00390720e+00]
 [-6.04484985e+02  9.85636139e+01  3.01102295e+01 ...  5.64953423e+00
  -1.76251400e+00  3.43939352e+00]
 [-6.12439270e+02  9.49043121e+01  3.24073296e+01 ... -3.24970961e+00
  -3.03161430e+00  2.87788463e+00]]"
data\BWC\BWC\wav\arctic_a0371.wav,It issued a rate of forty two dollars a car on charcoal,"[[-6.08721741e+02  1.14536346e+02  2.70743484e+01 ... -1.90095282e+00
   5.51988959e-01 -1.22608972e+00]
 [-6.03688354e+02  1.06346031e+02  6.43568878e+01 ...  8.19619942e+00
   1.55395184e+01  2.14030504e-01]
 [-6.16240784e+02  1.07179565e+02  4.67681503e+01 ... -1.24785585e+01
   9.72817993e+00  1.05032511e+01]
 ...
 [-6.06029846e+02  1.20427017e+02  4.12692680e+01 ... -6.27532053e+00
   3.72385383e+00  2.12172651e+00]
 [-6.09605225e+02  1.22397614e+02  5.65928116e+01 ...  5.13054180e+00
   8.38652229e+00 -3.22210693e+00]
 [-6.34258545e+02  1.30243591e+02  5.13802452e+01 ...  6.21210051e+00
   3.79220223e+00 -3.34372234e+00]]"
data\BWC\BWC\wav\arctic_a0372.wav,He saw only the effect in a general sketchy way,"[[-5.91764343e+02  1.07373581e+02  2.40029507e+01 ...  7.04158306e+00
  -2.04101849e+00 -1.44216890e+01]
 [-6.02981567e+02  1.17340508e+02  2.95936623e+01 ...  9.76305866e+00
   8.80463219e+00  4.36423492e+00]
 [-6.06579163e+02  1.30035004e+02  4.12993011e+01 ...  1.70930672e+00
   8.40447521e+00  3.55877590e+00]
 ...
 [-6.06968811e+02  1.08007393e+02  3.06138191e+01 ...  2.79281378e-01
  -8.00227833e+00 -1.75374851e+01]
 [-5.96954712e+02  1.27191635e+02  4.04919968e+01 ...  4.92848206e+00
  -3.73812771e+00 -3.91973686e+00]
 [-6.16387634e+02  1.09032486e+02  3.14056702e+01 ... -2.78534144e-01
  -5.51317978e+00 -8.79330254e+00]]"
data\BWC\BWC\wav\arctic_a0373.wav,Points of view new ideas life,"[[-6.50302185e+02  1.20856567e+02  3.86492424e+01 ...  1.47771442e+00
   5.88708210e+00 -2.44336629e+00]
 [-6.21011108e+02  1.18458992e+02  3.94107742e+01 ... -6.08778238e-01
   1.09259453e+01  6.23873329e+00]
 [-6.22321838e+02  1.20653183e+02  4.14494476e+01 ...  6.43031216e+00
   6.13306427e+00  5.59784365e+00]
 ...
 [-5.66904785e+02  1.15611717e+02  1.60069122e+01 ...  2.23636818e+00
   2.16032815e+00 -2.13100505e+00]
 [-5.77051453e+02  1.04464905e+02  5.23846149e+00 ...  5.83388031e-01
  -2.53185844e+00  2.55784571e-01]
 [-5.93316711e+02  1.17102814e+02  2.29287357e+01 ...  2.06482387e+00
   3.03915691e+00  7.03596234e-01]]"
data\BWC\BWC\wav\arctic_a0374.wav,But life is worth more than cash she argued,"[[-5.71112732e+02  1.08592880e+02  1.57906580e+01 ... -5.36468863e-01
   7.56386936e-01 -4.13659573e+00]
 [-6.20144714e+02  1.11031441e+02  3.43230667e+01 ...  1.92787971e+01
   1.78040142e+01  5.90334988e+00]
 [-6.18173340e+02  1.17668701e+02  4.90841866e+01 ...  3.05144548e+00
   7.36219215e+00  7.89078236e+00]
 ...
 [-6.10291321e+02  1.19135811e+02  3.96990433e+01 ...  1.80757523e-01
   4.29013157e+00  1.14591284e+01]
 [-6.05356506e+02  1.05247421e+02  3.14543839e+01 ...  8.60019684e+00
   1.01717415e+01  5.91868067e+00]
 [-6.03799622e+02  1.04661743e+02  1.71009045e+01 ...  9.22562790e+00
   1.06891232e+01  3.25555372e+00]]"
data\BWC\BWC\wav\arctic_a0375.wav,The butchers and meat cutters refused to handle meat destined for unfair restaurants,"[[-5.30661560e+02  1.19224419e+02  1.78811264e+01 ... -2.45126796e+00
  -6.90076303e+00 -1.70629120e+01]
 [-6.03614868e+02  1.25536064e+02  3.64705315e+01 ...  3.21532321e+00
   1.00363178e+01  8.25404453e+00]
 [-6.09697571e+02  1.23362747e+02  4.12377777e+01 ... -7.67955971e+00
   5.10227680e+00  1.60933304e+00]
 ...
 [-6.23353210e+02  1.14094376e+02  4.63025894e+01 ...  5.57663798e-01
   1.53113804e+01  4.32793045e+00]
 [-6.10788269e+02  1.18358116e+02  3.42106705e+01 ...  7.85515547e+00
   1.19270344e+01  2.93136740e+00]
 [-6.11615479e+02  1.22736511e+02  4.39209099e+01 ... -7.86752403e-01
   2.28047848e+00  1.27114344e+00]]"
data\BWC\BWC\wav\arctic_a0376.wav,Your price my son is just about thirty per week,"[[-630.91254    114.59206     25.190998  ...   -8.313098    -8.504026
     8.209268 ]
 [-613.0208     107.9828      37.779114  ...   19.133152    10.446458
     2.346179 ]
 [-608.1128     111.727455    31.683372  ...    5.138297     5.4467907
    -7.6519327]
 ...
 [-612.2747     128.00153     48.1773    ...    4.511515    12.824289
     8.269538 ]
 [-625.6064     118.00722     33.58735   ...    1.9714555    2.9563947
     7.846574 ]
 [-627.403      120.92096     36.576256  ...   -2.559242    12.238248
     5.966552 ]]"
data\BWC\BWC\wav\arctic_a0377.wav,This sound did not disturb the hush and awe of the place,"[[-6.26457214e+02  1.19339989e+02  3.29254417e+01 ... -4.59647560e+00
  -1.01045265e+01 -5.31195354e+00]
 [-6.16517029e+02  1.20467712e+02  3.38295822e+01 ... -6.48997724e-01
   5.36632442e+00 -1.48921096e+00]
 [-6.01350342e+02  9.57291794e+01  3.46527290e+01 ...  2.22619033e+00
   1.21624975e+01  1.13200321e+01]
 ...
 [-6.08435913e+02  1.01411163e+02  3.90275154e+01 ...  1.27895851e+01
   5.74669838e-01 -6.29120779e+00]
 [-6.03258423e+02  1.10401657e+02  3.11297588e+01 ...  1.41421356e+01
   9.15441895e+00  5.14158010e+00]
 [-5.08637695e+02  9.49967499e+01  2.57190609e+01 ...  4.33138704e+00
   4.34875107e+00  7.71601963e+00]]"
data\BWC\BWC\wav\arctic_a0378.wav,That's why its boundaries are all gouged and jagged,"[[-6.14700623e+02  1.09348259e+02  2.69764671e+01 ... -1.36275063e+01
   1.01845789e+00  6.62214851e+00]
 [-6.02509338e+02  1.20288696e+02  5.65403824e+01 ... -1.14157605e+00
   1.33338280e+01  1.17411184e+00]
 [-6.19002502e+02  1.04834259e+02  4.74142303e+01 ...  8.84657478e+00
   6.52938366e+00 -8.43502235e+00]
 ...
 [-6.16880188e+02  1.30059219e+02  5.04529076e+01 ...  5.74378157e+00
   1.31157894e+01  7.25435877e+00]
 [-6.10646790e+02  1.30032669e+02  4.98066521e+01 ...  1.78030415e+01
   4.07737732e+00 -1.24922953e+01]
 [-6.01119324e+02  1.15675301e+02  3.83016586e+01 ...  1.05066185e+01
  -2.71417093e+00 -1.58127308e-01]]"
data\BWC\BWC\wav\arctic_a0379.wav,How old are you daddy,"[[-6.65422424e+02  1.11812187e+02  3.19269257e+01 ...  2.01057053e+01
   5.60581875e+00 -9.25899982e-01]
 [-6.17957214e+02  1.30370529e+02  5.00259323e+01 ...  3.63117576e-01
   1.66058099e+00 -1.91741824e+00]
 [-6.07425232e+02  1.23273933e+02  4.33287773e+01 ... -3.72432172e-01
   1.57577181e+01  6.91737127e+00]
 ...
 [-6.07685181e+02  1.32883942e+02  4.80849380e+01 ...  1.21561832e+01
   1.15082550e+01  7.70307016e+00]
 [-6.07815735e+02  1.25905235e+02  4.00642929e+01 ...  7.21261501e-01
   7.93848801e+00  3.50838900e+00]
 [-6.02594299e+02  1.06539246e+02  4.01810036e+01 ...  5.62162685e+00
   1.46394520e+01  1.39031467e+01]]"
data\BWC\BWC\wav\arctic_a0380.wav,But in the canyons water was plentiful and also a luxuriant forest growth,"[[-5.56228210e+02  1.13557106e+02  2.10895844e+01 ...  5.27003407e-02
   1.08863945e+01  3.98560452e+00]
 [-6.09786377e+02  1.26823044e+02  4.32566185e+01 ...  8.45392990e+00
   1.70158730e+01  7.45453548e+00]
 [-6.12497070e+02  1.15333023e+02  3.44780807e+01 ...  1.45118685e+01
   1.71705971e+01  5.55465758e-01]
 ...
 [-6.15323059e+02  1.19087311e+02  4.63553772e+01 ...  2.20602655e+00
   8.69821358e+00 -2.60312891e+00]
 [-6.16268555e+02  1.17088333e+02  3.92617760e+01 ... -8.87527275e+00
   8.23644066e+00  3.27159357e+00]
 [-5.54128784e+02  1.04053131e+02  3.84167595e+01 ...  4.99648762e+00
   5.36066675e+00  1.85204148e+00]]"
data\BWC\BWC\wav\arctic_a0381.wav,My name's Ferguson,"[[-6.55159668e+02  1.30973236e+02  6.62719574e+01 ...  1.24160576e+00
   1.06040077e+01  1.27883453e+01]
 [-6.09368835e+02  1.41438492e+02  5.12908096e+01 ...  2.22695446e+00
   1.46775818e+01  8.23229504e+00]
 [-6.15763611e+02  1.13923172e+02  3.49645233e+01 ...  9.68311846e-01
   6.39252949e+00 -3.71293521e+00]
 ...
 [-6.02123840e+02  1.15067780e+02  2.52201862e+01 ... -1.29745698e+00
   1.60631104e+01  1.06408596e+01]
 [-5.95115295e+02  1.20618164e+02  3.27369156e+01 ... -6.24747372e+00
   1.23824716e+00  1.63659821e+01]
 [-6.06245850e+02  1.15271225e+02  4.48070221e+01 ... -1.21682227e+00
  -6.30211651e-01  5.28824234e+00]]"
data\BWC\BWC\wav\arctic_a0382.wav,Daylight found himself charmed and made curious by the little man,"[[-543.9057      99.74205     25.273909  ...   -8.502605    -9.057968
   -17.046057 ]
 [-560.81464     82.82143     49.38537   ...    2.7420406    7.7844467
    -3.450715 ]
 [-564.49615     77.20903     32.370216  ...    0.7725827   13.786218
     5.91238  ]
 ...
 [-592.7349     122.209984    38.24549   ...   -0.7031013   -1.5474188
    -0.9287793]
 [-598.9416     115.91829     43.179337  ...    6.252491    -3.569402
   -10.19104  ]
 [-585.8881     113.73436     32.948353  ...    8.533841     8.03636
     6.6052694]]"
data\BWC\BWC\wav\arctic_a0383.wav,To his surprise her answer was flat and uncompromising,"[[-6.0445197e+02  1.1689372e+02  1.9777554e+01 ... -6.2871733e+00
   7.8902969e+00  1.1132324e+01]
 [-6.0825055e+02  1.2874121e+02  5.1699051e+01 ... -7.2969532e+00
   2.6239145e+00  8.7339745e+00]
 [-6.1260321e+02  1.3264230e+02  5.8232903e+01 ...  1.0252777e+01
   9.9899969e+00  4.7353811e+00]
 ...
 [-6.0000287e+02  1.3249796e+02  4.7583054e+01 ...  4.8890824e+00
   4.2611685e+00  8.0024185e+00]
 [-6.1492542e+02  1.1833168e+02  4.1947895e+01 ... -2.4230239e+00
   1.1024174e-01  6.9794788e+00]
 [-6.4088794e+02  1.1194504e+02  3.1885723e+01 ... -5.4874029e+00
   6.6294651e+00  1.7197803e-01]]"
data\BWC\BWC\wav\arctic_a0384.wav,The farmer works the soil and produces grain,"[[-612.7725     111.12956     25.35071   ...   -0.8789582    7.9753838
     3.8568075]
 [-616.5986     121.47186     44.02441   ...    4.5946865    8.069474
    -4.1543403]
 [-616.6169     126.40515     42.403805  ...   14.25396     17.670748
    -7.419832 ]
 ...
 [-594.4176     116.23524     36.87665   ...   14.319073    18.012901
     3.164966 ]
 [-609.0581     105.75693     26.373661  ...    5.1486044   10.564636
    -6.924236 ]
 [-602.69525    121.95228     37.156754  ...   -7.8087463    6.054324
     9.09733  ]]"
data\BWC\BWC\wav\arctic_a0385.wav,That's what Carnegie did,"[[-5.51143433e+02  1.16521530e+02  1.92414742e+01 ... -1.42123103e+00
   6.97293615e+00 -3.32913548e-03]
 [-6.23069763e+02  1.13772202e+02  3.93737373e+01 ... -1.64117641e+01
   7.17314863e+00  5.32157421e+00]
 [-5.86968689e+02  1.06203094e+02  3.80258217e+01 ...  1.92190695e+00
  -2.20196962e+00 -3.64923763e+00]
 ...
 [-6.22983826e+02  1.29730698e+02  4.28284988e+01 ... -1.45099461e+00
   6.38217974e+00  1.38716660e+01]
 [-6.24148071e+02  1.26127304e+02  4.84776611e+01 ... -6.28287601e+00
   8.51556969e+00  1.48976088e+01]
 [-5.89917786e+02  1.14329041e+02  4.80108414e+01 ... -2.53115082e+00
   6.87624645e+00  5.92788792e+00]]"
data\BWC\BWC\wav\arctic_a0386.wav,I can't argue with you and you know that,"[[-5.88794312e+02  1.18139771e+02  1.43922777e+01 ...  1.39794483e+01
   1.29397087e+01 -3.36375046e+00]
 [-6.12736572e+02  1.16290771e+02  3.96549454e+01 ...  7.44137168e-01
   6.99498177e+00 -1.04100418e+01]
 [-5.45314087e+02  4.84352722e+01  4.82291985e+01 ... -1.53771248e+01
   1.09224949e+01 -6.66682148e+00]
 ...
 [-6.02750244e+02  1.08544563e+02  4.08411140e+01 ... -6.38374090e-01
   2.74068475e+00  7.07127476e+00]
 [-6.03267395e+02  1.05202805e+02  4.28558655e+01 ...  1.47367716e-01
   1.72020035e+01  1.14572296e+01]
 [-5.87965088e+02  1.13378632e+02  5.33922691e+01 ...  6.54869032e+00
   8.59990692e+00  1.12736759e+01]]"
